large_category_code,representative_source_code,representative_source_name,resolved_representative_code,resolved_representative_name,middle_category_code,canonical_name,source_middle_codes,reason
01,01018,국수,01018,국수,0101801,소면,0101801,국수와 구별되는 독립 식품
01,01018,국수,01018,국수,0101802,우동,0101802,국수와 구별되는 독립 식품
01,01018,국수,01018,국수,0101805,중면,0101805,국수와 구별되는 독립 식품
01,01018,국수,01018,국수,0101806,쫄면,0101806,국수와 구별되는 독립 식품
01,01018,국수,01018,국수,0101807,칼국수,0101807,국수와 구별되는 독립 식품
01,01038,찹쌀,01038,찹쌀,0103817,백진주,0103817,독립 쌀 identity
02,02007,당면,02007,당면,0200701,고구마 당면,0200701,대표식품과 중분류를 결합한 식품명
02,02014,전분,02014,전분,0201401,감자 전분,0201401,대표식품과 중분류를 결합한 식품명
02,02014,전분,02014,전분,0201402,고구마 전분,0201402,대표식품과 중분류를 결합한 식품명
02,02014,전분,02014,전분,0201405,옥수수 전분,0201405,대표식품과 중분류를 결합한 식품명
06,06101,상추,06101-01,상추,0610103,로메인,0610103,상추와 구별되는 구매·조리 식품
06,06186,토마토,06186,토마토,0618601,방울토마토,0618601,토마토와 구별되는 구매·조리 식품
06,06191,파,06191,파,0619104,대파,0619104,파와 구별되는 상품·레시피 연결 단위
06,06198,호박,06198,호박,0619803,늙은호박,0619803,호박과 구별되는 독립 식품
06,06198,호박,06198,호박,0619804,단호박,0619804,호박과 구별되는 독립 식품
06,06198,호박,06198,호박,0619805,애호박,0619805,호박과 구별되는 실제 식재료·판매 단위
11,11009,가자미류,11009,가자미류,1100909,기름가자미,1100909|1100911|1100913|1100915|1100917,크기 표기는 별도 속성으로 보존하고 Ingredient는 기름가자미로 병합
11,11011,갈치류,11011,갈치류,1101103,갈치,1101103|1101105,크기 표기는 별도 속성으로 보존하고 Ingredient는 갈치로 병합
11,11143,보구치,11143,보구치,1114303,보구치,1114303|1114305,크기 표기는 별도 속성으로 보존하고 Ingredient는 보구치로 병합
11,11201,연어류,11201,연어류,1120109,연어,1120109,상품·레시피에서 사용하는 독립 식품
11,11717,새우류,11717,새우류,1171725,새우,1171725,상품 매칭에서 사용하는 독립 식품
